Id,SalePrice
1461,125912.05855548538
1462,142023.92043357075
1463,171633.4861347012
1464,196930.5090251201
1465,196802.63143932846
1466,179058.6367412958
1467,191682.064649305
1468,168192.6417339974
1469,200417.05990110929
1470,120601.3970120917
1471,204121.86872183485
1472,107344.0251469012
1473,88419.50240667204
1474,144722.41405317187
1475,103296.34021210406
1476,329501.063459835
1477,251379.26193092842
1478,287756.60181646654
1479,270447.29907509993
1480,402363.04879901663
1481,294365.7430008149
1482,210953.77746267963
1483,189049.33486660762
1484,174166.46130812474
1485,220410.95551396062
1486,216818.2470195518
1487,293596.6712416447
1488,259271.21688699748
1489,185520.6764422386
1490,242560.44813982275
1491,221797.2803549643
1492,102412.70315723523
1493,216493.9220302052
1494,298292.00447964284
1495,284989.91527345014
1496,218585.14877283643
1497,162510.41692611857
1498,156629.92481522798
1499,166017.5837861154
1500,157326.30165510817
1501,195980.2404469264
1502,150451.1691782985
1503,290361.0024572489
1504,251540.3077478086
1505,229946.5597973153
1506,196186.1504016798
1507,241644.82519578547
1508,199912.0929319893
1509,157530.05934986976
1510,146149.04610393953
1511,150662.64906860652
1512,192540.6659550521
1513,164702.29226891103
1514,165741.4540073708
1515,223699.613110066
1516,172375.5307368352
1517,164054.64294911336
1518,121322.10696558421
1519,246547.24553624002
1520,126125.98587406654
1521,116968.69823761178
1522,208688.71062979315
1523,81588.66705164578
1524,108270.90772842811
1525,101472.54632484422
1526,88719.71104909288
1527,97239.05288610095
1528,149763.4767027689
1529,134389.3146696341
1530,241755.79057502508
1531,152837.92553540325
1532,123064.0605959523
1533,150810.00413111833
1534,123348.58763219143
1535,144539.44498638285
1536,102897.7058402479
1537,60264.79563467688
1538,188610.75325122432
1539,228185.33356488158
1540,126363.35558695502
1541,155398.15392696782
1542,130720.07693272806
1543,185277.74172212603
1544,84942.4799529155
1545,131104.67742106042
1546,143597.80649607044
1547,149734.05628241328
1548,136104.5919660351
1549,127609.36695207475
1550,132318.3914095487
1551,131800.4388027711
1552,152160.94195180415
1553,187638.22162787948
1554,116503.360683512
1555,165932.09569375162
1556,92358.75823754595
1557,86901.86996461079
1558,99426.43079567044
1559,87348.31147475464
1560,125940.48928257872
1561,119643.77695467886
1562,119912.96962815839
1563,117758.2344374308
1564,148774.35271667514
1565,146318.89357026137
1566,253416.87905049595
1567,78219.26293569438
1568,225345.88330490916
1569,110176.21315857879
1570,149255.0758844795
1571,134404.31333755417
1572,136801.53432001418
1573,251002.38378053755
1574,122647.8602855217
1575,253413.4413477274
1576,269371.1422927937
1577,201120.2897291312
1578,149451.76831262477
1579,129880.78268889783
1580,203787.31221656073
1581,157597.61125736014
1582,127956.83162992034
1583,310568.7552511971
1584,240709.87356048985
1585,162728.7101383446
1586,61176.94228923746
1587,103671.19735225012
1588,145042.0254244938
